Kategorija: Visos kategorijos

Šalis,silute: (2017-04-07–2022-04-07),heydekrug: (2017-04-07–2022-04-07)
Lietuva,100 %,<1 %
Airija,100 %,
Norvegija,100 %,
Švedija,100 %,
Jungtinė Karalystė,100 %,
Kenija,,
Vokietija,54 %,46 %
Nigerija,100 %,
Lenkija,100 %,
Prancūzija,100 %,
Nyderlandai,100 %,
Pietų Afrika,100 %,
Filipinai,100 %,
Ispanija,100 %,
Jungtinės Valstijos,100 %,
Brazilija,100 %,
Indija,100 %,
Čilė,,
Indonezija,100 %,
Turkija,100 %,
Argentina,,
Latvija,,
Farerų Salos,,
Gibraltaras,,
Naujoji Kaledonija,,
Pietų Sudanas,,
Lesotas,,
Gajana,,
Estija,,
Togas,,
Malavis,,
Danija,,
Islandija,,
Uganda,,
Mozambikas,,
Gana,,
Malis,,
Haitis,,
Zambija,,
Kongas-Kinšasa,,
Šv. Elenos Sala,,
Panama,,
Armėnija,,
Malta,,
Libanas,,
Suomija,,
Etiopija,,
Šiaurės Makedonija,,
Šveicarija,,
Albanija,,
Hondūras,,
Kroatija,,
Reunjonas,,
Angola,,
Gruzija,,
Kipras,,
Tanzanija,,
Moldova,,
Gvatemala,,
Rumunija,,
Kamerūnas,,
Salvadoras,,
Naujoji Zelandija,,
Liuksemburgas,,
Bahreinas,,
Pakistanas,,
Nepalas,,
Dramblio Kaulo Krantas,,
Mianmaras (Birma),,
Austrija,,
Kinija,,
Belgija,,
Kambodža,,
Baltarusija,,
Slovakija,,
Jungtiniai Arabų Emyratai,,
Kanada,,
Serbija,,
Kataras,,
Čekija,,
Singapūras,,
Bosnija ir Hercegovina,,
Italija,,
Izraelis,,
Azerbaidžanas,,
Irakas,,
Malaizija,,
Meksika,,
Portugalija,,
Australija,,
Ekvadoras,,
Urugvajus,,
Bulgarija,,
Kosta Rika,,
Bolivija,,
Pietų Korėja,,
Šri Lanka,,
Rusija,,
Peru,,
Bangladešas,,
Ukraina,,
Kolumbija,,
Tailandas,,
Vengrija,,
Egiptas,,
Graikija,,
Vietnamas,,
Marokas,,
Alžyras,,
Taivanas,,
Kazachstanas,,
Saudo Arabija,,
Iranas,,
Japonija,,
Aruba,,
Afganistanas,,
Angilija,,
Alandų Salos,,
Andora,,
Amerikos Samoa,,
Antarktida,,
Prancūzijos Pietų sritys,,
Antigva ir Barbuda,,
Burundis,,
Beninas,,
Karibų Nyderlandai,,
Burkina Fasas,,
Bahamos,,
Sen Bartelemi,,
Belizas,,
Bermuda,,
Barbadosas,,
Brunėjus,,
Butanas,,
Buvė Sala,,
Botsvana,,
Centrinės Afrikos Respublika,,
Kokosų (Kilingo) Salos,,
Kongas-Brazavilis,,
Kuko Salos,,
Komorai,,
Žaliasis Kyšulys,,
Kuba,,
Kiurasao,,
Kalėdų Sala,,
Kaimanų Salos,,
Džibutis,,
Dominika,,
Dominikos Respublika,,
Eritrėja,,
Vakarų Sachara,,
Fidžis,,
Folklando (Malvinų) Salos,,
Mikronezija,,
Gabonas,,
Gernsis,,
Gvinėja,,
Gvadelupa,,
Gambija,,
Bisau Gvinėja,,
Pusiaujo Gvinėja,,
Grenada,,
Grenlandija,,
Prancūzijos Gviana,,
Guamas,,
Honkongas,,
Herdo ir Makdonaldo Salos,,
Meno Sala,,
Indijos Vandenyno Britų Sritis,,
Jamaika,,
Džersis,,
Jordanija,,
Kirgizija,,
Kiribatis,,
Sent Kitsas ir Nevis,,
Kuveitas,,
Laosas,,
Liberija,,
Libija,,
Sent Lusija,,
Lichtenšteinas,,
Makao,,
Sen Martenas,,
Monakas,,
Madagaskaras,,
Maldyvai,,
Maršalo Salos,,
Juodkalnija,,
Mongolija,,
Marianos Šiaurinės Salos,,
Mauritanija,,
Montseratas,,
Martinika,,
Mauricijus,,
Majotas,,
Namibija,,
Nigeris,,
Norfolko sala,,
Nikaragva,,
Niujė,,
Nauru,,
Omanas,,
Pitkerno salos,,
Palau,,
Papua Naujoji Gvinėja,,
Puerto Rikas,,
Šiaurės Korėja,,
Paragvajus,,
Palestina,,
Prancūzijos Polinezija,,
Ruanda,,
Sudanas,,
Senegalas,,
Pietų Džordžija ir Pietų Sandvičo salos,,
Svalbardas ir Janas Majenas,,
Saliamono Salos,,
Siera Leonė,,
San Marinas,,
Somalis,,
Sen Pjeras ir Mikelonas,,
San Tomė ir Prinsipė,,
Surinamas,,
Slovėnija,,
Svazilandas,,
Sint Martenas,,
Seišeliai,,
Sirija,,
Terkso ir Kaikoso Salos,,
Čadas,,
Tadžikija,,
Tokelau,,
Turkmėnistanas,,
Rytų Timoras,,
Tonga,,
Trinidadas ir Tobagas,,
Tunisas,,
Tuvalu,,
Jungtinių Valstijų Mažosios Tolimosios Salos,,
Uzbekistanas,,
Vatikano Miesto Valstybė,,
Šventasis Vincentas ir Grenadinai,,
Venesuela,,
Didžiosios Britanijos Mergelių Salos,,
Jungtinių Valstijų Mergelių Salos,,
Vanuatu,,
Volisas ir Futūna,,
Samoa,,
Kosovas,,
Jemenas,,
Zimbabvė,,
