Period,Vidutinis NET atlyginimas
2021K3,1012.4
2021K2,994.4
2021K1,966.5
2020K4,967.3
2020K3,927.9
2020K2,889.2
2020K1,879.2
2019K4,857.9
2019K3,834.3
2019K2,817.8
2019K1,802.7
2018K4,751.7
2018K3,728
2018K2,721.8
2018K1,700.2
2017K4,690.5
2017K3,667.3
2017K2,659
2017K1,644.5
2016K4,636.9
2016K3,615.9
2016K2,600.8
2016K1,583.9
2015K4,584.8
2015K3,569
2015K2,553.8
2015K1,543.6
2014K4,553.9
2014K3,541.1
2014K2,530.7
2014K1,522.4
2013K4,524
2013K3,516.7
2013K2,505.6
2013K1,501.4
2012K4,501.2
2012K3,488.3
2012K2,484.6
2012K1,481.3
2011K4,489.1
2011K3,476.7
2011K2,474.9
2011K1,467.2
2010K4,477.8
2010K3,469.4
2010K2,463.9
2010K1,458.7
2009K4,477.1
2009K3,482.2
2009K2,488.6
2009K1,493
2008K4,513.5
2008K3,513.7
2008K2,496.1
2008K1,478
