LotFrontage,SalePrice
65.0,208500
80.0,181500
68.0,223500
60.0,140000
84.0,250000
85.0,143000
75.0,307000
70.04995836802665,200000
51.0,129900
50.0,118000
70.0,129500
85.0,345000
70.04995836802665,144000
91.0,279500
70.04995836802665,157000
51.0,132000
70.04995836802665,149000
72.0,90000
66.0,159000
70.0,139000
101.0,325300
57.0,139400
75.0,230000
44.0,129900
70.04995836802665,154000
110.0,256300
60.0,134800
98.0,306000
47.0,207500
60.0,68500
50.0,40000
70.04995836802665,149350
85.0,179900
70.0,165500
60.0,277500
108.0,309000
112.0,145000
74.0,153000
68.0,109000
65.0,82000
84.0,160000
115.0,170000
70.04995836802665,144000
70.04995836802665,130250
70.0,141000
61.0,319900
48.0,239686
84.0,249700
33.0,113000
66.0,127000
70.04995836802665,177000
52.0,114500
110.0,110000
68.0,385000
60.0,130000
100.0,180500
24.0,172500
89.0,196500
66.0,438780
60.0,124900
63.0,158000
60.0,101000
44.0,202500
50.0,140000
70.04995836802665,219500
76.0,317000
70.04995836802665,180000
72.0,226000
47.0,80000
81.0,225000
95.0,244000
69.0,129500
74.0,185000
85.0,144900
60.0,107400
21.0,91000
70.04995836802665,135750
50.0,127000
72.0,136500
60.0,110000
100.0,193500
32.0,153500
78.0,245000
80.0,126500
70.04995836802665,168500
121.0,260000
122.0,174000
40.0,164500
105.0,85000
60.0,123600
60.0,109900
85.0,98600
80.0,163500
60.0,133900
69.0,204750
70.04995836802665,185000
78.0,214000
73.0,94750
85.0,83000
77.0,128950
70.04995836802665,205000
77.0,178000
64.0,118964
94.0,198900
70.04995836802665,169500
75.0,250000
60.0,100000
50.0,115000
85.0,115000
105.0,190000
75.0,136900
70.04995836802665,180000
77.0,383970
70.04995836802665,217000
61.0,259500
34.0,176000
70.04995836802665,139000
74.0,155000
90.0,320000
65.0,163990
70.04995836802665,180000
50.0,100000
75.0,136000
55.0,153900
48.0,181000
60.0,84500
70.04995836802665,128000
55.0,87000
69.0,155000
69.0,150000
88.0,226000
70.04995836802665,244000
75.0,150750
70.04995836802665,220000
78.0,180000
80.0,174000
70.04995836802665,143000
82.0,171000
73.0,230000
65.0,231500
70.0,115000
